1	1979	f
2	1987	m
3	1988	f
4	1983	m
5	1988	m
6	1984	m
7	1987	f
8	1980	f
9	1956	m
10	1975	f
11	1989	f
12	1978	m
13	1988	f
14	1988	f
15	1973	m
16	1985	f
17	1985	m
18	1983	m
19	1980	m
20	1977	m
21	1967	m
22	1973	m
23	1965	m
24	1958	m
25	1965	m
26	1968	f
27	1945	f
28	1981	f
29	1958	m
30	1990	f
31	1977	m
32	1975	m
33	1982	m
34	1958	m
35	1955	m
36	1992	m
37	1951	m
38	1987	m
39	1982	m
40	undef	undef
41	1980	m
42	1982	m
43	1987	m
44	1987	m
45	1986	m
46	1978	m
47	1984	m
48	1980	f
49	1971	m
50	1987	m
51	1983	m
52	1979	m
53	1981	m
54	1985	f
55	1987	f
56	1980	f
57	1967	f
58	1983	m
59	1984	m
60	1975	m
61	1966	m
62	1972	m
63	1983	m
64	1983	f
65	1985	m
66	1966	m
67	1987	f
68	1980	f
69	1979	m
70	1984	f
71	1977	m
72	1987	m
73	1985	f
74	1985	m
75	1970	m
76	1979	m
77	1983	m
78	1990	m
79	1992	m
80	1967	m
81	1983	m
82	1985	m
83	1979	m
84	1980	m
85	1977	m
86	1969	f
87	1988	m
88	1993	m
89	1981	f
90	1969	m
91	1981	m
92	1979	m
93	1984	m
94	1994	f
95	1989	m
96	1981	m
97	1987	m
98	1974	f
99	1907	m
100	1977	m
101	1986	f
102	1977	m
103	1971	m
104	1957	f
105	1970	m
106	1954	m
107	1986	m
108	1974	f
109	1983	f
110	1977	m
111	1958	f
112	1987	m
113	1981	m
114	1972	m
115	1951	m
116	1983	f
117	1987	f
118	1982	m
119	1969	f
120	1988	m
121	1986	m
122	1973	m
123	1979	m
124	1968	m
125	1988	m
126	1984	m
127	1986	f
128	1981	m
129	1978	m
130	1984	f
131	1963	m
132	1989	f
133	1985	m
134	1989	m
135	1984	f
136	1971	m
137	1979	m
138	1978	m
139	1979	m
140	1982	m
141	1957	m
142	1972	m
143	1989	m
144	1979	m
145	1954	m
146	1952	f
147	1981	m
148	1977	m
149	1972	m
150	1973	m
151	1982	m
152	1959	m
153	1974	m
154	1984	m
155	1982	m
156	1959	m
157	1985	f
158	1983	f
159	1981	m
160	1978	m
161	1981	f
162	1973	m
163	1964	m
164	1987	f
165	1986	m
166	1978	f
167	1942	m
168	1982	m
169	1984	m
170	1979	f
171	1954	f
172	1955	m
173	1967	m
174	1986	m
175	1970	m
176	1965	m
177	1991	f
178	1985	m
179	1984	m
180	1960	m
181	1980	m
182	1984	m
183	1985	f
184	1977	m
185	1986	f
186	1961	m
187	1989	m
188	1970	m
189	1988	m
190	1990	m
191	1983	m
192	1970	m
193	1980	m
194	1967	m
195	1982	m
196	1976	m
197	1984	m
198	1988	m
199	1971	m
200	1980	m
201	1984	m
202	1912	m
203	1979	f
204	1979	f
205	1983	f
206	1987	f
207	1970	m
208	1982	m
209	1963	m
210	1988	f
211	1988	m
212	1984	f
213	1982	m
214	1985	f
215	1981	f
216	1983	m
217	1979	m
218	1980	m
219	1989	f
220	1987	m
221	1981	m
222	1966	m
223	1977	m
224	1981	m
225	1966	m
226	1962	m
227	1975	m
228	1981	m
229	1978	m
230	1993	f
231	1980	m
232	1980	m
233	1979	m
234	1987	m
235	1988	m
236	1975	m
237	1987	f
238	1979	m
239	1931	m
240	1987	f
241	1989	f
242	1983	f
243	1983	m
244	1982	m
245	1975	m
246	1984	f
247	1983	m
248	1961	f
249	1989	m
250	1978	f
251	1985	m
252	1983	f
253	1988	m
254	1992	f
255	1985	f
256	1971	m
257	1965	m
258	1980	m
259	1982	m
260	1978	f
261	1980	m
262	1977	m
263	1954	f
264	1987	m
265	1985	m
266	1970	f
267	1982	m
268	1988	m
269	1982	m
270	1984	m
271	1987	f
272	1991	m
273	1959	m
274	1971	m
275	1983	f
276	1982	m
277	1990	f
278	1963	m
279	1981	m
280	1975	m
281	1973	f
282	1982	m
283	1984	m
284	1983	m
285	1978	f
286	1981	m
287	1983	f
288	1975	m
289	1974	m
290	1989	f
291	1987	m
292	1965	f
293	1987	f
294	1972	m
295	1981	m
296	1984	m
297	1986	m
298	1986	m
299	1973	m
300	1981	m
301	1981	m
302	1987	f
303	1987	m
304	1974	m
305	1974	m
306	1986	f
307	1982	m
308	1983	f
309	1985	m
310	1988	f
311	1981	m
312	1982	m
313	1988	m
314	1970	m
315	1982	m
316	1982	m
317	1978	m
318	1987	f
319	1977	f
320	1987	f
321	1986	f
322	1982	f
323	1964	m
324	1982	m
325	1964	m
326	1981	m
327	1973	m
328	1975	m
329	1973	m
330	1979	m
331	1985	m
332	1978	f
333	1966	f
334	1975	m
335	1984	m
336	1988	f
337	1988	f
338	1980	m
339	1988	m
340	1989	f
341	1975	m
342	1962	f
343	1970	m
344	1951	f
345	1978	f
346	1986	f
347	1984	f
348	1981	m
349	1959	f
350	1975	m
351	1967	m
352	1913	f
353	1981	m
354	1978	f
355	1986	m
356	1975	f
357	1988	m
358	1974	m
359	1974	m
360	1938	m
361	1987	m
362	1972	f
363	1986	m
364	1980	m
365	1967	m
366	1970	m
367	1979	f
368	1986	f
369	1989	f
370	1983	m
371	1992	f
372	1972	f
373	1981	m
374	1982	f
375	1971	m
376	1972	f
377	1970	m
378	1983	m
379	1975	m
380	1954	m
381	1985	m
382	1983	f
383	1983	f
384	1975	m
385	1987	f
386	1970	m
387	1956	m
388	1984	m
389	1981	m
390	1979	m
391	1983	m
392	1965	f
393	1967	f
394	1988	m
395	1982	m
396	1978	m
397	1981	f
398	1990	f
399	1992	f
400	1968	m
401	1983	f
402	1912	m
403	1978	m
404	1984	f
405	1973	m
406	1982	m
407	1960	m
408	1976	f
409	1975	m
410	1982	m
411	1989	m
412	1966	m
413	1982	m
414	1982	m
415	1991	f
416	1974	m
417	1984	f
418	1969	m
419	1979	m
420	1968	f
421	1986	m
422	1966	m
423	1985	m
424	1987	m
425	1964	m
426	1959	m
427	1984	m
428	1973	f
429	1969	m
430	1986	m
431	1975	m
432	1966	f
433	1985	m
434	1972	m
435	1982	m
436	1984	f
437	1989	f
438	1962	m
439	1982	m
440	1986	f
